Zone,Lat,Long,DistanceToForest,UrbanGrowth,LanduseChange,ForestLat,ForestLon,ForestName,Water Levels,NO2_Mine,NO2_Forest,WaterLevel_Mean,WaterLevel_Range,NO2_Mine_Forest_Ratio,NO2_Differential,Environmental_Stress,Water_Pollution_Interaction,Risk
Tummalapalli_Uranium_Mines,16.516667,80.516667,0.008013697,-0.006102009,1.125388817,16.9440664,80.6070634,"A.Konduru, NTR, Andhra Pradesh, India",3.40-16.24,0.000102,7.70E-05,9.82,12.84,1.324675325,2.50E-05,0.300653901,0.00100164,1569
Sagar_Cements_Limestone_Mines,19.95000076,79.30000305,2.91E-05,0.025154092,0.360800976,20.39483445,79.26285709,"Warora Taluka, Chandrapur, Maharashtra, India",3.40-16.24,0.000177,8.30E-05,9.82,12.84,2.13253012,9.40E-05,0.317272731,0.00173814,523
Kadapa_Barytes_Mines,14.47500038,78.821944,0.000592358,0.005791603,0.364055634,14.92246865,78.82301873,"Sri Avadhutha Kasinayana, YSR, Andhra Pradesh, India",3.40-16.24,7.20E-05,6.50E-05,9.82,12.84,1.107692308,7.00E-06,0.182856016,0.00070704,589
Tummalapalle_Uranium_Mines,14.3166666,78.266667,0.000232454,-0.000505776,0.545816661,14.36488988,78.60427265,"Pendlimarri, YSR, Andhra Pradesh, India",3.40-16.24,6.40E-05,6.60E-05,9.82,12.84,0.96969697,-2.00E-06,0.205757336,0.00062848,437
Garampani_Coal_Block,26.183333,93.566667,23.18550484,0.000211974,0.007565097,26.62262955,93.49439916,"Mathani, Bokakhat, Golaghat, Assam, India",1.65-6.00,6.80E-05,6.90E-05,3.825,4.35,0.985507246,-1.00E-06,0.185291771,0.0002601,44
Tipong_Colliery,27.29999924,95.84999847,10.44876342,0.001945164,0.239538575,27.74565614,95.83120853,"Lathao Circle, Namsai, Arunachal Pradesh, India",1.30-4.85,6.40E-05,6.10E-05,3.075,3.55,1.049180328,3.00E-06,0.255933523,0.0001968,539
Ledo_Open_Cast_Project,27.48946381,95.360144,0.242819884,-4.16E-05,0.38362611,27.92314705,95.36141926,"Sika Bamin, Oyan Circle, East Siang, Arunachal Pradesh, India",1.30-4.85,6.80E-05,6.20E-05,3.075,3.55,1.096774194,6.00E-06,0.259662089,0.0002091,1092
Gevra_mine,22.35000038,82.683333,0.000837096,0.031060072,0.929711344,22.78627779,82.74379638,"Poundi-Uproda Tahsil, Korba, Chhattisgarh, India",1.65-7.00,0.000277,0.000101,4.325,5.35,2.742574257,0.000176,0.655213488,0.001198025,440
Bailadila_Iron_Ore_Range,18.70000076,81.21944427,3.780927187,0.005314811,0.252516057,19.14028223,81.16420749,"Bhairamgarh Tahsil, Bijapur, Chhattisgarh, India",5.10-5.97,6.50E-05,6.70E-05,5.535,0.87,0.970149254,-2.00E-06,0.393828351,0.000359775,192
Panandhro_Lignite_Mine,23.91500092,70.366944,0.007185293,0.047216936,1.289700233,23.83023911,70.10391999,"SH51;SH52, Khadavandh, Bhuj Taluka, Kachchh, Gujarat, India",4.96-11.26,5.90E-05,6.20E-05,8.11,6.3,0.951612903,-3.00E-06,0.615706348,0.00047849,1233
